"HostName","CPUUsage","RAMUsage","Disk1Usage","Disk2Usage","Disk3Usage","PowerOnFailureTime","ShutdownFailureTime","OverallStatus","FailedPercentage","HighLoadPercentage","CriticalErrorPercentage","TotalActiveSessions","TotalUpdatesInstalled","TotalCriticalLogs","TotalErrorLogs","TotalHostsShutdownFailed","BootTime","InventoryDatestamp"
"n7rcws","8","26,03","78.7 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","9","26,01","78.7 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 03:04:39",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 03:04:39",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","6","29,76","78.85 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","10","29,76","78.85 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 03:26:51",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 03:26:51",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","4","30,39","78.86 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","13","30,41","78.86 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 05:40:11",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 05:40:11",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-04 08:30:32",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 08:30:32",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-04 10:15:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 10:15:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-04 12:27:58",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 12:27:58",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-04 12:44:44",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","32","70,05","59.01 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","14","70,05","59.01 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 12:44:44",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","9","27,97","78.8 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","3","27,96","78.8 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 21:28:30",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 21:28:30",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","0","27,23","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","6","27,22","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 21:33:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 21:33:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","4","27,45","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","2","27,45","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 21:39:56",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 21:39:56",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","2","26,62","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","5","26,62","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-04 22:29:04",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-04 22:29:04",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","12","26,71","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","4","26,71","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 02:53:36",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 02:53:36",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","10","26,82","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","5","26,82","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 03:06:07",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 03:06:07",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","4","26,9","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","11","26,92","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 03:10:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 03:10:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","23","26,87","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","20","26,87","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 03:34:40",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 03:34:40",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","9","27,01","78.82 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","26","27,01","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 03:52:28",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 03:52:28",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","24","27,04","78.82 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","12","27,06","78.82 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 04:01:08",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 04:01:08",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","2","27,12","78.82 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","1","27,14","78.82 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 04:04:26",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 04:04:26",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","17","27,18","78.82 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","20","27,18","78.82 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 04:14:46",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 04:14:46",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","6","27,01","78.86 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","9","26,99","78.86 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 04:55:44",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 04:55:44",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","1","27,1","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","2","27,1","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 05:10:52",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 05:10:52",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","37","27,25","78.86 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","31","27,23","78.86 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 05:28:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 05:28:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","11","27,33","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","10","27,31","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 05:32:29",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 05:32:29",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","8","27,33","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","6","27,33","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 05:37:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 05:37:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","7","27,12","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","13","27,12","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 05:42:44",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 05:42:44",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","2","28,48","78.88 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","11","28,46","78.88 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-05 07:11:40",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 07:11:40",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-05 08:03:55",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 08:03:55",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-05 08:09:48",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","2","72,81","59.02 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","6","72,81","59.02 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 08:09:48",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-05 08:15:05",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","28","73,56","59.02 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","5","73,56","59.02 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 08:15:05",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-05 08:23:59",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","26","71,8","59.02 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","4","71,8","59.02 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 08:23:59",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-05 08:37:08",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 08:37:08",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-05 12:01:04",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","4","73,93","61.23 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","10","73,81","61.23 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-05 12:01:04",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","24","22,48","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","13","22,46","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 05:04:57",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 05:04:57",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","4","22,48","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","8","22,46","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 05:07:52",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 05:07:52",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","10","23,47","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","18","23,47","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 05:33:56",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 05:33:56",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","16","23,05","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","4","23,05","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 05:44:48",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 05:44:48",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","9","23,2","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","29","23,2","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 05:46:29",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 05:46:29",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","3","23,35","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","3","23,33","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 05:48:41",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 05:48:41",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","1","23,47","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","4","23,46","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 05:54:57",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 05:54:57",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","28","23,84","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","8","23,84","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:03:42",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:03:42",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","19","23,71","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","4","23,71","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:09:05",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:09:05",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","1","23,71","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","1","23,69","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:11:39",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:11:39",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","0","23,76","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","0","23,76","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:13:36",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:13:36",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","20","23,79","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","31","23,79","79 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:16:13",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:16:13",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","6","24,06","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","1","24,04","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:23:32",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:23:32",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","10","24,07","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","14","24,09","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:26:46",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:26:46",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","23","24,12","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","12","24,14","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:28:37",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:28:37",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","1","24,2","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","3","24,18","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:32:07",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:32:07",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","16","24,31","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","13","24,26","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:34:19",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:34:19",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","3","24,7","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","5","24,7","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:37:57",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:37:57",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","0","24,91","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","1","24,89","79.01 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 06:42:02",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 06:42:02",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-06 08:58:30",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 08:58:30",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-06 13:00:33",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","20","72,56","58.82 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","14","72,56","58.82 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 13:00:33",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-06 13:21:53",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","20","71,8","58.83 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","8","71,8","58.83 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 13:21:53",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-06 13:27:03",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","20","71,55","58.83 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","13","71,55","58.83 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 13:27:03",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-06 13:34:35",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","13","70,68","58.84 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","14","70,68","58.84 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 13:34:35",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-06 13:40:52",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","7","71,8","58.84 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","31","71,8","58.84 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 13:40:52",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-06 13:55:42",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","17","72,68","58.84 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","14","72,68","58.84 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 13:55:42",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","9","26,22","79.05 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","31","26,2","79.05 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 18:45:33",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 18:45:33",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","5","27,42","79.06 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","26","27,45","79.06 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 20:10:12",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 20:10:12",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","18","27,25","79.06 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","15","27,25","79.06 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 20:22:27",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 20:22:27",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","2","27,26","79.06 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","5","27,26","79.06 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 20:36:01",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-06 20:36:01",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","3","27,59","79.06 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","8","27,61","79.06 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-06 20:39:26",,"Partial Failures","50","0","0","2","0","0","0","0",,
