"Status","Timestamp","HostName"
"Host in Session [ administrador]","2024-11-05 08:16:06","localhost"
"Host in Session [ administrador]","2024-11-05 08:16:06","U00200025-BAV02"
"Power-on Failed","2024-11-05 08:23:59","i2-ca-29"
"Power-on Failed","2024-11-05 08:23:59","n7rcws"
"Host in Session [ administrador]","2024-11-05 08:25:00","localhost"
"Host in Session [ administrador]","2024-11-05 08:25:01","U00200025-BAV02"
"Power-on Failed","2024-11-05 08:37:08","i2-ca-29"
"Power-on Failed","2024-11-05 08:37:08","n7rcws"
"Host in Session [ administrador]","2024-11-05 08:38:09","localhost"
"Host in Session [ administrador]","2024-11-05 08:38:09","U00200025-BAV02"
"Power-on Failed","2024-11-05 12:01:04","i2-ca-29"
"Power-on Failed","2024-11-05 12:01:04","n7rcws"
"Host in Session [ administrador]","2024-11-05 12:02:10","localhost"
"Host in Session [ administrador]","2024-11-05 12:02:10","U00200025-BAV02"
"Power-on Failed","2024-11-06 04:59:45","U00200025-BAV02"
"Power-on Failed","2024-11-06 04:59:45","i2-ca-29"
"Host in Session [ notre]","2024-11-06 05:00:07","localhost"
"Host in Session [ notre]","2024-11-06 05:00:07","n7rcws"
"Power-on Failed","2024-11-06 05:04:57","U00200025-BAV02"
"Power-on Failed","2024-11-06 05:04:57","i2-ca-29"
"Host in Session [ notre]","2024-11-06 05:05:19","localhost"
"Host in Session [ notre]","2024-11-06 05:05:19","n7rcws"
"Power-on Failed","2024-11-06 05:07:52","U00200025-BAV02"
"Power-on Failed","2024-11-06 05:07:52","i2-ca-29"
"Host in Session [ notre]","2024-11-06 05:08:14","localhost"
"Host in Session [ notre]","2024-11-06 05:08:14","n7rcws"
"Power-on Failed","2024-11-06 05:33:56","U00200025-BAV02"
"Power-on Failed","2024-11-06 05:33:56","i2-ca-29"
"Host in Session [ notre]","2024-11-06 05:34:18","localhost"
"Host in Session [ notre]","2024-11-06 05:34:18","n7rcws"
"Power-on Failed","2024-11-06 05:44:48","U00200025-BAV02"
"Power-on Failed","2024-11-06 05:44:48","i2-ca-29"
"Host in Session [ notre]","2024-11-06 05:45:09","localhost"
"Host in Session [ notre]","2024-11-06 05:45:09","n7rcws"
"Power-on Failed","2024-11-06 05:46:29","U00200025-BAV02"
"Power-on Failed","2024-11-06 05:46:29","i2-ca-29"
"Host in Session [ notre]","2024-11-06 05:46:51","localhost"
"Host in Session [ notre]","2024-11-06 05:46:51","n7rcws"
"Power-on Failed","2024-11-06 05:48:41","U00200025-BAV02"
"Power-on Failed","2024-11-06 05:48:41","i2-ca-29"
"Host in Session [ notre]","2024-11-06 05:49:03","localhost"
"Host in Session [ notre]","2024-11-06 05:49:03","n7rcws"
"Power-on Failed","2024-11-06 05:54:57","U00200025-BAV02"
"Power-on Failed","2024-11-06 05:54:57","i2-ca-29"
"Host in Session [ notre]","2024-11-06 05:55:19","localhost"
"Host in Session [ notre]","2024-11-06 05:55:19","n7rcws"
"Power-on Failed","2024-11-06 06:02:06","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:02:06","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:02:28","localhost"
"Host in Session [ notre]","2024-11-06 06:02:28","n7rcws"
"Power-on Failed","2024-11-06 06:03:42","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:03:42","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:04:04","localhost"
"Host in Session [ notre]","2024-11-06 06:04:04","n7rcws"
"Power-on Failed","2024-11-06 06:09:05","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:09:05","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:09:27","localhost"
"Host in Session [ notre]","2024-11-06 06:09:27","n7rcws"
"Power-on Failed","2024-11-06 06:11:39","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:11:39","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:12:01","localhost"
"Host in Session [ notre]","2024-11-06 06:12:01","n7rcws"
"Power-on Failed","2024-11-06 06:13:36","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:13:36","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:13:58","localhost"
"Host in Session [ notre]","2024-11-06 06:13:58","n7rcws"
"Power-on Failed","2024-11-06 06:16:13","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:16:13","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:16:35","localhost"
"Host in Session [ notre]","2024-11-06 06:16:35","n7rcws"
"Power-on Failed","2024-11-06 06:20:21","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:20:21","i2-ca-29"
"Power-on Failed","2024-11-06 06:23:32","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:23:32","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:23:54","localhost"
"Host in Session [ notre]","2024-11-06 06:23:54","n7rcws"
"Power-on Failed","2024-11-06 06:26:46","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:26:46","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:27:07","localhost"
"Host in Session [ notre]","2024-11-06 06:27:08","n7rcws"
"Power-on Failed","2024-11-06 06:28:37","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:28:37","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:28:59","localhost"
"Host in Session [ notre]","2024-11-06 06:28:59","n7rcws"
"Power-on Failed","2024-11-06 06:32:07","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:32:07","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:32:29","localhost"
"Host in Session [ notre]","2024-11-06 06:32:29","n7rcws"
"Power-on Failed","2024-11-06 06:34:19","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:34:19","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:34:41","localhost"
"Host in Session [ notre]","2024-11-06 06:34:41","n7rcws"
"Power-on Failed","2024-11-06 06:37:57","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:37:57","i2-ca-29"
"Host in Session [ notre]","2024-11-06 06:38:19","localhost"
"Host in Session [ notre]","2024-11-06 06:38:19","n7rcws"
"Power-on Failed","2024-11-06 06:42:02","U00200025-BAV02"
"Power-on Failed","2024-11-06 06:42:02","i2-ca-29"
